City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,coolum beach,-26.5333,153.1,28.95,69,89,5.98,AU,1675646226
84,alamosa,37.4695,-105.87,3.99,28,0,4.63,US,1675646227
85,mount gambier,-37.8333,140.7667,19.8,53,19,2.98,AU,1675646228
86,reconquista,-29.15,-59.65,24.1,27,29,1.69,AR,1675646229
87,ypsonas,34.6884,32.9574,12.54,71,75,7.2,CY,1675646230
88,banda aceh,5.5577,95.3222,25.78,80,90,2.41,ID,1675646113
89,hambantota,6.1241,81.1185,23.95,85,100,5.77,LK,1675646233
90,mataura,-46.1927,168.8643,16.85,69,98,4.9,NZ,1675646139
91,qaanaaq,77.484,-69.3632,-18.74,52,95,1.14,GL,1675646156
92,baft,29.234,56.6057,2.01,39,9,1.05,IR,1675646235
93,wamba,8.9333,8.6,25.09,19,100,2.24,NG,1675646236
94,laguna,38.421,-121.4238,13.03,65,0,4.12,US,1675646117
95,santa cruz,-17.8,-63.1667,23.7,88,40,2.57,BO,1675645893
96,east london,-33.0153,27.9116,23.36,85,82,5.82,ZA,1675646195
97,batticaloa,7.7102,81.6924,24.97,84,100,4.04,LK,1675646239
98,altayskoye,51.9533,85.3325,-10.77,91,100,2.19,RU,1675646241
99,ugoofaaru,5.6667,73.0,26.65,76,100,1.11,MV,1675645953
100,pevek,69.7008,170.3133,-35.13,96,100,1.56,RU,1675646243
101,saint-francois,46.4154,3.9054,4.82,75,100,4.63,FR,1675646028
102,stromness,58.965,-3.296,8.26,84,100,8.05,GB,1675646246
103,ahipara,-35.1667,173.1667,20.18,94,100,2.13,NZ,1675646247
104,lavrentiya,65.5833,-171.0,-19.51,88,100,4.14,RU,1675646192
105,upernavik,72.7868,-56.1549,-25.15,94,100,3.04,GL,1675646062
106,buckeye,33.3703,-112.5838,21.37,34,0,2.06,US,1675646131
107,mubi,10.2676,13.2644,23.15,20,100,1.2,NG,1675646249
108,chokurdakh,70.6333,147.9167,-41.07,100,95,0.43,RU,1675646155
109,sitka,57.0531,-135.33,5.94,61,100,10.29,US,1675646238
110,tasiilaq,65.6145,-37.6368,-3.91,95,100,2.03,GL,1675646016
111,linxia,35.6003,103.2064,-2.92,43,100,0.47,CN,1675646250
112,shingu,33.7333,135.9833,10.57,45,100,0.75,JP,1675646165
113,lompoc,34.6391,-120.4579,13.8,80,0,6.69,US,1675645918
114,den chai,17.9837,100.0522,26.08,74,16,0.63,TH,1675646251
115,santa rosalia,27.3167,-112.2833,18.18,35,100,0.8,MX,1675646252
116,santa marta,11.2408,-74.199,28.03,65,40,4.12,CO,1675646252
117,alma,48.5501,-71.6491,-11.06,97,100,1.27,CA,1675646050
118,bambous virieux,-20.3428,57.7575,26.23,88,40,1.54,MU,1675646197
119,lida,53.8833,25.2997,-7.16,92,100,1.36,BY,1675646253
120,huron,41.1501,-82.5499,7.69,74,100,5.89,US,1675646010
121,sarangani,5.4033,125.4636,27.11,76,95,5.98,PH,1675646254
122,rassvet,46.8333,40.75,-1.14,80,100,4.42,RU,1675646254
123,kapaa,22.0752,-159.319,26.99,83,100,4.12,US,1675646143
124,yellowknife,62.456,-114.3525,-20.25,76,100,5.36,CA,1675646133
125,clyde river,70.4692,-68.5914,-29.87,69,0,3.6,CA,1675646234
126,dusetos,55.75,25.85,-5.36,89,100,3.23,LT,1675646256
127,providencia,28.7167,-111.5833,24.67,29,6,3.64,MX,1675646256
128,lazaro cardenas,17.9583,-102.2,24.68,75,0,2.84,MX,1675646183
129,inirida,3.8653,-67.9239,22.33,98,75,1.13,CO,1675646257
130,jos,9.9167,8.9,20.48,19,100,2.58,NG,1675646257
131,provideniya,64.3833,-173.3,-13.94,72,100,8.05,RU,1675646133
